               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.030209,            0.020893,           0.0015742,             0.85571,             0.86759,              0.9169,             0.58016,            0.028028,             0.01164,          0.00094014,            0.004258,            0.004258,            0.004258
                 118,            0.030398,            0.020763,           0.0015511,             0.85551,             0.86731,             0.91749,             0.58133,            0.027997,            0.011625,          0.00093534,           0.0042085,           0.0042085,           0.0042085
                 119,            0.030271,            0.020687,           0.0015993,             0.85542,             0.86904,             0.91771,             0.58173,            0.027967,            0.011612,          0.00093311,            0.004159,            0.004159,            0.004159
                 120,            0.030368,            0.020817,           0.0015482,              0.8534,             0.87077,             0.91849,             0.58247,            0.027933,            0.011598,          0.00092856,           0.0041095,           0.0041095,           0.0041095
                 121,             0.03012,            0.020629,           0.0014085,             0.85305,              0.8714,             0.91888,             0.58317,            0.027903,            0.011585,          0.00092553,             0.00406,             0.00406,             0.00406
                 122,            0.030103,            0.020718,           0.0014254,              0.8556,             0.86983,             0.91916,             0.58403,            0.027871,            0.011571,          0.00092163,           0.0040105,           0.0040105,           0.0040105
                 123,            0.029946,            0.020633,           0.0014156,             0.85467,              0.8714,             0.91978,             0.58484,            0.027836,            0.011556,          0.00091787,            0.003961,            0.003961,            0.003961
                 124,            0.029869,            0.020565,           0.0015689,             0.85577,             0.87212,              0.9199,             0.58562,            0.027804,            0.011543,          0.00091434,           0.0039115,           0.0039115,           0.0039115
                 125,            0.029747,            0.020365,           0.0014624,             0.85647,             0.87298,             0.92041,             0.58649,            0.027772,             0.01153,          0.00091075,            0.003862,            0.003862,            0.003862
                 126,            0.029823,            0.020498,           0.0014919,             0.85628,             0.87392,             0.92103,             0.58731,            0.027737,            0.011516,          0.00090665,           0.0038125,           0.0038125,           0.0038125
                 127,            0.029483,            0.020586,           0.0013839,             0.85787,             0.87361,             0.92129,             0.58794,            0.027701,            0.011503,           0.0009008,            0.003763,            0.003763,            0.003763
